Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ladu:Basingstoke and Deane,E07000084,28822,7.1,28780,6.9,28000,9.1,30412,9.4,31857,8.6,32544,6.5,35488,5.6
ladu:East Hampshire,E07000085,27328,9.5,28986,8.1,29632,14,28138,11,30079,18,29212,7.7,30316,8.5
ladu:Eastleigh,E07000086,24486,7.4,23834,9.7,23308,9.5,24953,7.6,27361,8.1,28822,8.9,29970,7.1
ladu:Fareham,E07000087,26837,7.1,27060,8.6,27033,8.8,28148,18,27785,18,-,-,30652,9.7
ladu:Gosport,E07000088,21650,15,23982,9.8,22206,10,23800,10,25311,8.9,26464,9.2,26677,10
ladu:Hart,E07000089,28214,14,28601,13,29749,11,-,-,31309,14,30943,12,35449,12
ladu:Havant,E07000090,22949,11,24137,8.6,23892,13,24514,9.2,23494,11,24526,5.7,25216,20
ladu:New Forest,E07000091,23081,10,23079,13,22486,8.2,24048,7.5,25713,11,23847,9.8,26093,7
ladu:Rushmoor,E07000092,25170,7.2,25188,8.1,27419,8.3,27444,8,31741,10,27446,9.4,30480,10
ladu:Test Valley,E07000093,25451,8.8,26535,9,25588,13,-,-,27974,7.6,28520,6.9,30015,9.3
ladu:Winchester,E07000094,29740,12,30063,14,31590,16,28622,8.7,31001,13,31977,8.2,31824,6.3
ladu:Ashford,E07000105,23758,14,25237,12,24119,9.4,25126,12,25377,9.4,24333,9.7,28980,8.6
ladu:Canterbury,E07000106,22922,7.6,22851,12,22568,8,25040,15,25335,8.6,24727,17,26934,20
ladu:Dartford,E07000107,27622,6.5,27011,12,28763,10,29473,-,31959,11,29056,9.2,32204,9.8
ladu:Dover,E07000108,22412,18,22457,-,23593,8.8,27108,9.3,25548,14,25463,8.6,27816,8.8
ladu:Gravesham,E07000109,23409,10,22467,10,23423,11,25639,17,26446,10,27368,14,29456,9.6
ladu:Maidstone,E07000110,25011,7.2,24285,10,23973,9,26649,15,28293,15,28068,7,30071,8
ladu:Sevenoaks,E07000111,25523,11,27247,11,26384,9.7,30163,11,-,-,-,-,25659,15
ladu:Folkestone and Hythe,E07000112,21605,17,22991,9.6,22629,9.1,25967,12,24390,12,26078,10,29349,10
ladu:Swale,E07000113,23539,11,25406,11,26609,9.2,25995,11,25411,14,26053,12,28711,8.2
ladu:Thanet,E07000114,18476,15,18111,11,18880,20,21064,9.3,22603,8.5,22730,17,24660,8.3
ladu:Tonbridge and Malling,E07000115,27160,9.6,-,-,27587,18,29633,11,29876,18,31218,7.7,32307,8.8
ladu:Tunbridge Wells,E07000116,-,-,27624,7.9,29912,13,30453,15,30442,18,32352,11,30914,9.8
ladu:Cherwell,E07000177,26425,9.5,26654,20,26462,11,26466,7.5,29303,8.9,29579,7.1,30490,8.5
ladu:Oxford,E07000178,26834,6,28788,8.2,27060,10,25892,17,26261,9,29261,8.1,30575,8.7
ladu:South Oxfordshire,E07000179,29892,8.1,29826,8.6,30672,9,32811,8.1,33619,8.7,31031,15,34159,8.5
ladu:Vale of White Horse,E07000180,28877,11,29913,7.3,30398,20,30598,8,31502,11,32099,6.9,34587,6.8
ladu:West Oxfordshire,E07000181,26542,11,23827,10,25488,14,26739,10,26365,20,27250,6.4,-,-
ladu:Elmbridge,E07000207,32371,9.2,30000,14,34003,12,37217,9.4,30177,13,32836,11,32272,11
ladu:Epsom and Ewell,E07000208,28340,8.7,32128,9.1,30696,10,-,-,27991,15,29545,11,-,-
ladu:Guildford,E07000209,29110,10,31250,10,31319,9.2,34430,12,32832,14,32518,14,38040,8.6
ladu:Mole Valley,E07000210,-,-,-,-,24362,12,26363,11,25377,12,28039,15,29130,19
ladu:Reigate and Banstead,E07000211,27165,8.1,29333,9,32467,10,32276,7.4,32575,9.6,32291,9.5,35282,11
ladu:Runnymede,E07000212,26096,15,27100,12,27207,12,-,-,-,-,33500,8.2,-,-
ladu:Spelthorne,E07000213,30754,13,29218,9.6,28472,9.5,29145,8.7,29681,14,31440,14,-,-
ladu:Surrey Heath,E07000214,31432,9.9,34496,17,34290,12,33961,9.6,35759,10,36930,9.4,-,-
ladu:Tandridge,E07000215,25930,16,30351,10,30944,18,29014,11,-,-,30006,12,35165,11
ladu:Waverley,E07000216,30704,16,30231,12,30785,14,31962,12,30402,13,30305,12,34836,13
ladu:Woking,E07000217,28605,16,29966,9.7,28303,9.6,28751,-,31550,14,30188,12,33853,8.7
ladu:Adur,E07000223,20611,10,20338,9.3,22605,9.1,22877,16,25157,14,-,-,25534,16
ladu:Arun,E07000224,21339,7.2,21982,7.5,22258,7.1,21555,6.5,22364,7.7,22938,7.2,24235,16
ladu:Chichester,E07000225,22871,14,22423,11,21515,11,24038,11,23368,10,24423,8,27543,-
ladu:Crawley,E07000226,24400,10,24216,9.3,24098,8.6,23786,18,28455,6.1,26673,8,29950,8.9
ladu:Horsham,E07000227,26415,17,23675,12,25662,8.9,26122,8.3,25846,20,25787,8.7,29515,9.1
ladu:Mid Sussex,E07000228,24829,13,28355,7.8,30024,8.3,28205,11,27903,9.8,27428,15,30073,8
ladu:Worthing,E07000229,21057,15,23015,7.7,23300,14,24175,8.5,26036,8.6,26673,7.2,27135,6
ladu:Bath and North East Somerset,E06000022,23730,12,23076,8.5,23752,9.6,24256,14,24199,12,24204,8.9,27614,18
"ladu:Bristol, City of",E06000023,23692,4.2,23506,4.5,24145,6.7,25952,4.1,27504,4.8,26936,5,29923,7.7
ladu:Cornwall,E06000052,19093,6.1,19920,4.5,20305,4.2,20338,6.6,20919,5.3,21339,6.8,24510,4
ladu:Isles of Scilly,E06000053,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ladu:North Somerset,E06000024,23997,7.6,22217,8,24333,8.3,24001,6.4,27931,10,24968,6.5,29026,7
ladu:Plymouth,E06000026,20403,5.4,21703,6.8,22465,5.5,21612,5.7,22963,5.4,22064,4.6,23433,6.8
ladu:South Gloucestershire,E06000025,23328,4.6,23205,7,23886,5.7,24777,8.4,26576,5.6,26020,5.6,28830,5
ladu:Swindon,E06000030,24897,9.3,24677,5.5,25407,8.2,27234,5.9,27212,5.7,27247,5,28164,11
ladu:Torbay,E06000027,18763,11,19574,6.1,19054,10,20602,6,21336,8.5,23293,6.1,22678,8.3
ladu:Wiltshire,E06000054,21881,4,23173,5.3,23656,4.3,23069,5,24350,4.6,24855,4.4,28033,4.2
ladu:East Devon,E07000040,22406,7.9,21793,8.5,21728,7.2,22284,11,-,-,23551,7.9,-,-
ladu:Exeter,E07000041,21005,8.9,21049,7.4,21367,9,23369,7.2,22176,10,23340,13,25553,16
ladu:Mid Devon,E07000042,21957,8.5,22007,11,22274,9.4,22001,9.1,21883,18,-,-,25048,11
ladu:North Devon,E07000043,17565,10,17672,17,18984,7.5,19968,11,19954,7.9,21335,9.4,25035,9.1
ladu:South Hams,E07000044,-,-,21666,11,20889,11,20110,11,21338,13,24066,12,26370,10
ladu:Teignbridge,E07000045,19408,11,19275,12,20279,7.8,21243,13,20707,7.8,21499,13,23283,7.8
ladu:Torridge,E07000046,19146,12,20740,11,20667,9.9,20942,11,22313,13,-,-,22300,11
ladu:West Devon,E07000047,20230,11,20382,9.6,-,-,19919,13,21015,13,19539,15,21639,18
"ladu:Bournemouth, Christchurch and Poole",E06000058,-,-,-,-,22739,7.9,25128,4.6,24987,5.8,24321,8.6,26714,7.8
ladu:Dorset,E06000059,21018,6.3,21363,7,21526,5.6,22832,9.3,24799,5.6,24579,4.5,26446,8.7
ladu:Cheltenham,E07000078,24796,14,25779,7.2,25574,12,27443,17,28512,18,30445,8.9,34961,10
ladu:Cotswold,E07000079,21399,11,-,-,22359,16,24853,12,26944,13,22067,13,26953,12
ladu:Forest of Dean,E07000080,-,-,21489,16,22088,20,-,-,23649,14,23576,12,30120,17
ladu:Gloucester,E07000081,21689,11,21242,6.7,22897,5.6,22760,7.5,23311,9,23649,6.6,25766,8.2
ladu:Stroud,E07000082,23783,5.5,24321,6.6,24000,8,24401,6.3,-,-,25159,7.9,27606,9.2
ladu:Tewkesbury,E07000083,23321,-,23186,12,-,-,24721,11,26585,12,28308,14,-,-
ladu:Mendip,E07000187,21626,9,-,-,21006,9.8,22918,13,22164,11,22723,8,25979,10
ladu:Sedgemoor,E07000188,19728,6.5,19759,16,20784,7.7,21523,11,21914,8.3,21790,8.2,23732,7
ladu:South Somerset,E07000189,19812,4.8,21469,6.4,21342,6.7,22931,7.8,24028,7.8,23956,7.6,26657,7.7
ladu:Somerset West and Taunton,E07000246,-,-,-,-,20012,8.2,21564,8.9,23448,6.9,23604,6,25504,8.3
ladu:Isle of Anglesey,W06000001,22098,8.4,23164,8.8,22862,9.3,22887,11,24071,10,26322,11,27191,13
ladu:Gwynedd,W06000002,17201,7.7,18784,8.9,19084,-,20281,13,21525,12,19875,7.8,22554,9.9
ladu:Conwy,W06000003,-,-,20242,9.7,20452,9,-,-,23165,14,22699,8.7,27249,8.5
ladu:Denbighshire,W06000004,19738,9,20080,9.7,20367,15,20459,8.6,21009,8.8,22009,6.1,23514,7.5
ladu:Flintshire,W06000005,22688,11,21524,8,21631,6.2,22783,5.9,23989,6.4,24829,8.5,27925,12
ladu:Wrexham,W06000006,20753,9.2,21764,7.3,22848,8.6,23960,6.7,25280,8.1,23572,6.8,27678,15
ladu:Powys,W06000023,19994,20,20458,15,20715,8.3,22493,7.6,22999,9.6,22283,6.2,25744,6.8
ladu:Ceredigion,W06000008,20071,9.2,19124,11,20412,9.8,21538,9.5,22020,17,23401,10,25885,8.2
ladu:Pembrokeshire,W06000009,18587,8.3,18741,10,19384,8,20583,7.1,22259,7.8,23757,8.1,25969,8.6
ladu:Carmarthenshire,W06000010,20255,6.3,20559,7.8,21029,6,22543,4.9,23938,8.2,24454,5.4,26777,5.8
ladu:Swansea,W06000011,20506,6,21150,5.7,22997,7.1,23026,5.5,23700,6,23485,6.2,25872,6.2
ladu:Neath Port Talbot,W06000012,19909,9.2,20645,7.8,21916,7.5,23384,5.4,23836,8.2,24935,6.7,26468,8.2
ladu:Bridgend,W06000013,21861,7.9,21889,11,23091,10,23497,7.1,24913,9.2,23836,7,26855,9.5
ladu:Vale of Glamorgan,W06000014,24566,14,24537,11,22774,8.6,25174,9.5,24922,9.6,26121,7.3,26236,8.6
ladu:Cardiff,W06000015,22784,8.9,23245,5.8,23414,7.3,24918,4,25028,5.3,24657,3.7,27649,5.2
ladu:Rhondda Cynon Taff,W06000016,21452,5.6,21645,5.5,21711,6.9,22463,6.8,23651,5.9,23127,4.6,24485,6.1
ladu:Merthyr Tydfil,W06000024,20348,7.6,21340,7.4,20782,7.4,23267,6.9,23410,8.2,24645,7.3,25009,9.2
ladu:Caerphilly,W06000018,20816,4.4,21665,5.2,22580,5.3,22497,5.2,23303,7.1,24782,6.4,25719,5.7
ladu:Blaenau Gwent,W06000019,-,-,21592,15,20690,9.9,19459,7.8,-,-,21794,10,25518,11
ladu:Torfaen,W06000020,21758,7.5,22972,9.1,23542,7.8,23386,7.2,25659,7.1,23370,6.7,26295,8.7
ladu:Monmouthshire,W06000021,26744,11,25663,15,26095,11,26071,14,26900,13,29914,10,28138,14
ladu:Newport,W06000022,20644,8.6,21251,6.6,22165,6.9,23425,6.6,24797,7.4,24583,6.2,26400,6.5
ladu:Aberdeen City,S12000033,24970,6.7,23761,5.1,24686,5.5,25917,5.2,24905,7.7,25278,4.6,27375,6.2
ladu:Aberdeenshire,S12000034,22376,8.8,22412,11,23873,5.6,25147,6.3,25000,14,25128,6,27390,8
ladu:Angus,S12000041,22125,8.1,21409,11,24009,8.7,23597,11,23618,11,23594,15,27001,7.8
ladu:Argyll and Bute,S12000035,21915,20,20563,9.2,21044,9.5,20990,10,23082,10,23477,8.2,23856,9.8
ladu:Clackmannanshire,S12000005,22594,17,23908,9.2,21078,9.2,-,-,26970,11,27020,10,29424,11
ladu:Dumfries and Galloway,S12000006,19447,6.9,19101,6,20209,6,20590,5.7,22337,7.2,23030,7.3,23919,11
ladu:Dundee City,S12000042,21292,11,21025,7.4,22411,9.5,23231,7.9,25562,6,24808,5.4,25613,6.2
ladu:East Ayrshire,S12000008,22067,14,22979,7.1,24030,7.9,24871,7.7,25291,9.1,25135,7.7,-,-
ladu:East Dunbartonshire,S12000045,27206,9,27077,9.3,26513,9.9,29859,9.2,32871,7.5,30860,9.8,33395,8.8
ladu:East Lothian,S12000010,22916,9.2,22988,12,24516,7.8,25836,18,26383,8.7,-,-,28369,11
ladu:East Renfrewshire,S12000011,28450,10,28087,14,28584,12,31791,11,34469,12,35077,15,36851,11
ladu:City of Edinburgh,S12000036,25618,4.4,25943,4.4,25725,3.3,26254,5.9,28832,5.6,28164,5,30172,4.5
ladu:Na h-Eileanan Siar,S12000013,19324,12,19980,11,20740,13,23517,13,24349,11,27152,13,24666,17
ladu:Falkirk,S12000014,23514,6.1,23579,6.6,23993,8,24451,6.3,25875,6.7,25909,5.7,28622,6.6
ladu:Fife,S12000047,23011,6.8,22038,8.5,23475,5.5,23857,5,24827,5.7,25599,4.7,26304,4.4
ladu:Glasgow City,S12000049,21632,4.6,22478,3.5,22349,4.8,23622,4.1,25684,4.1,25461,5.3,27000,3.5
ladu:Highland,S12000017,22882,4.6,22793,7.1,23274,5.8,23721,8.8,25098,5.8,25377,5,26566,6
ladu:Inverclyde,S12000018,20846,10,20521,12,20233,12,19950,11,21707,10,24796,13,27749,11
ladu:Midlothian,S12000019,22643,8.2,23283,11,23237,7.6,24073,7.2,25623,7.5,25636,7.1,27559,7.1
ladu:Moray,S12000020,18330,14,19175,11,20670,9.6,21630,11,22509,11,22966,7.9,24189,-
ladu:North Ayrshire,S12000021,22412,8.3,24498,7.3,25211,7.2,25000,7.2,25908,9.9,26408,13,28267,7.9
ladu:North Lanarkshire,S12000050,22671,4.3,23346,3.8,24557,7.1,25000,7.2,26167,4.9,25770,3.7,28467,6.3
ladu:Orkney Islands,S12000023,-,-,-,-,-,-,-,-,-,-,21434,17,26933,19
ladu:Perth and Kinross,S12000048,22540,6.3,22721,7.7,22673,6.6,24642,7.3,24919,10,26775,5.4,28402,8.4
ladu:Renfrewshire,S12000038,24069,5.8,23458,6.5,25083,7.2,24970,9.5,25432,7.6,27569,7,29506,6.8
ladu:Scottish Borders,S12000026,21258,15,22748,7.7,22458,7.3,22925,6.1,23452,12,23559,7.5,24530,18
ladu:Shetland Islands,S12000027,26452,14,25416,16,27568,15,29147,13,26310,17,29282,17,30544,18
ladu:South Ayrshire,S12000028,22578,7.5,24655,9,25088,14,26000,9.8,27449,11,25910,19,26763,15
ladu:South Lanarkshire,S12000029,23253,4.6,23943,5.8,24578,5.9,25817,5.6,-,-,27200,5.1,28164,6.9
ladu:Stirling,S12000030,25212,11,25524,11,25761,9.7,-,-,26265,13,27830,11,28494,9
ladu:West Dunbartonshire,S12000039,21382,16,21297,7,22798,8.4,22900,13,23790,8.8,25482,7.8,27217,8.9
ladu:West Lothian,S12000040,22371,4.8,24002,6.4,23931,9.4,25055,6.2,27147,6.3,27751,5.5,-,-
ualad19:Darlington,E06000005,22580,8.3,22889,11,21867,9.3,23520,8.3,24146,7.6,24784,16,26184,8.6
ualad19:County Durham,E06000047,21996,4.8,22986,4.4,23158,5,24000,3.3,24192,5,24245,3.8,25904,3.4
ualad19:Hartlepool,E06000001,22160,7.4,22971,12,22322,8,22890,12,22965,9.8,24421,8.3,24537,13
ualad19:Middlesbrough,E06000002,18687,9.1,18454,9.3,19120,13,21082,9.6,22487,11,21968,11,-,-
ualad19:Northumberland,E06000057,21391,5.4,22353,4.9,21382,5.1,22046,8.8,23195,7.9,23265,9.4,24655,5.4
ualad19:Redcar and Cleveland,E06000003,19881,12,20370,8,19859,7.1,20973,9.8,22016,8.6,21661,6.6,22172,10
ualad19:Stockton-on-Tees,E06000004,21923,7.1,22428,7,21781,7.2,23237,8.1,24347,7.2,24598,8.7,26819,20
ualad19:Gateshead,E08000037,21306,9.4,21085,9.2,21560,6.5,22259,5.5,22601,5.8,23263,4.9,25024,17
ualad19:Newcastle upon Tyne,E08000021,22501,8.2,21253,9,21999,7.2,23502,11,23797,6.1,24377,8.6,27005,5.7
ualad19:North Tyneside,E08000022,21037,7,21973,7.5,23208,7.6,23572,15,24968,5.7,25179,5.5,27009,7.2
ualad19:South Tyneside,E08000023,21039,6.9,20910,6.7,22040,6.9,20764,7.3,21965,8.1,22863,7.5,25093,7.4
ualad19:Sunderland,E08000024,20916,6.9,21178,4.2,20776,4.4,21655,4,22723,5,21944,3.5,23655,6.2
ualad19:Blackburn with Darwen,E06000008,19295,7.7,18786,7.9,19879,12,21260,5.1,21512,6.3,20895,8,23205,9.9
ualad19:Blackpool,E06000009,17630,6.6,17617,15,18210,6.2,19486,17,19810,6.2,20361,4.6,21771,15
ualad19:Cheshire East,E06000049,22645,6.4,23045,6.8,24028,6.9,25697,5.1,27017,5.1,24873,5,28497,9.3
ualad19:Cheshire West and Chester,E06000050,22354,7.7,23596,5.1,24227,9.1,25444,6,26007,7.3,26487,5.3,28005,14
ualad19:Halton,E06000006,21537,5.4,21426,9.4,21958,7,22695,11,24019,7.4,23583,5.8,25890,8.6
ualad19:Warrington,E06000007,23932,8.9,24672,5.8,25373,11,25180,6.2,24536,7.2,26020,5.6,27750,7
ualad19:Allerdale,E07000026,-,-,22471,8.7,22720,15,24040,-,26405,11,29754,11,26755,13
ualad19:Barrow-in-Furness,E07000027,21514,11,-,-,26508,13,27452,11,30097,14,28416,14,26215,14
ualad19:Carlisle,E07000028,19141,6.9,19657,6.5,21509,5.9,20969,7.3,24924,11,21381,7.8,-,-
ualad19:Copeland,E07000029,29191,18,-,-,-,-,26171,12,-,-,32776,17,27873,20
ualad19:Eden,E07000030,17575,15,20294,12,-,-,20925,15,24876,14,22117,16,24647,12
ualad19:South Lakeland,E07000031,23569,15,-,-,23559,17,24451,18,25576,14,25174,13,27849,18
ualad19:Bolton,E08000001,20318,7.5,20631,7.6,20726,12,22268,5.8,23336,9.3,23414,5.8,25290,8.4
ualad19:Bury,E08000002,23872,8.2,23768,11,25433,9.1,26215,8.2,26839,9,27332,9.7,27688,7.2
ualad19:Manchester,E08000003,20163,6.5,20555,5.8,22188,4.3,22412,7.7,23141,4.4,23044,4.2,24101,9.2
ualad19:Oldham,E08000004,20108,7.5,20423,7.2,20509,8.6,21342,7,22453,6.8,23662,6.5,24174,4.8
ualad19:Rochdale,E08000005,20602,7.5,20348,8.9,20874,15,21878,5.1,22487,7.4,22506,5,23817,12
ualad19:Salford,E08000006,21505,7.5,21702,5.1,21999,6.4,22536,7.7,24007,7.9,23303,4.9,28081,5.7
ualad19:Stockport,E08000007,23271,6.1,24260,6.7,25078,7.4,26005,9.6,26292,8.3,25422,15,28095,9.8
ualad19:Tameside,E08000008,20023,6.4,20492,6.8,21923,5.4,22724,7.1,22264,8.2,23278,4.8,25078,5.3
ualad19:Trafford,E08000009,26635,8.9,26167,5.5,28566,6.4,28757,7.6,27069,6.1,27882,6,30412,6.8
ualad19:Wigan,E08000010,21672,5.1,22179,6.5,22243,5.1,22952,6.6,24524,5.9,25527,4.8,25329,4.7
ualad19:Burnley,E07000117,20798,15,20467,10,20801,12,22175,11,22605,10,23864,8.6,24428,9.2
ualad19:Chorley,E07000118,23301,8.8,22534,11,24349,7.9,25016,7.6,24989,9.8,25194,9,27855,7.8
ualad19:Fylde,E07000119,22241,12,24096,18,26437,12,27608,19,27093,14,26863,9.7,27742,11
ualad19:Hyndburn,E07000120,20259,9.3,19570,10,20522,8.4,22725,7.8,22472,16,23128,9.8,24365,12
ualad19:Lancaster,E07000121,20776,12,22300,7.5,21848,11,22907,8.1,-,-,25368,8.3,26246,19
ualad19:Pendle,E07000122,20913,7.1,-,-,21915,18,22207,12,-,-,20034,10,22575,8.3
ualad19:Preston,E07000123,19989,10,20254,7.4,21348,8.7,21706,6.2,23638,6.2,22877,6.1,24416,13
ualad19:Ribble Valley,E07000124,23648,11,22376,12,26476,11,-,-,27279,15,26994,14,27838,16
ualad19:Rossendale,E07000125,-,-,21259,17,21436,9.4,20841,12,21681,13,22857,11,23671,12
ualad19:South Ribble,E07000126,22269,7.3,22944,7.3,22721,12,22953,7.6,24077,8.7,24148,7.2,25959,8.7
ualad19:West Lancashire,E07000127,21218,13,22150,14,22664,11,24151,7.6,24240,11,22884,7.7,26862,8.5
ualad19:Wyre,E07000128,19930,9.2,-,-,20476,13,22418,8.8,23217,9.6,23686,9.7,27011,9.7
ualad19:Knowsley,E08000011,21502,7.1,21956,6.5,22287,8.2,22696,6.1,23411,8.5,24148,6.3,25735,8.4
ualad19:Liverpool,E08000012,21754,5.1,21792,7,22324,5.8,23312,4,25000,5.9,25019,3.9,26303,8.6
ualad19:Sefton,E08000014,21701,5.2,22149,6.9,22606,9.2,23637,6.6,23921,13,23755,7,24829,15
ualad19:St. Helens,E08000013,22850,11,21644,14,22859,11,24650,8.3,25541,5.8,25745,8.8,27545,8
ualad19:Wirral,E08000015,22167,5.6,22350,6.4,22953,4.9,24136,4.7,24306,5.9,24630,5.1,27509,5.1
ualad19:East Riding of Yorkshire,E06000011,21865,6,22147,5,22553,7,24413,5.6,25623,6.5,25427,6.4,28067,5.3
"ualad19:Kingston upon Hull, City of",E06000010,18136,8.6,18956,5.5,19268,4.7,20741,5.2,20762,6.2,22151,4.8,23350,12
ualad19:North East Lincolnshire,E06000012,19151,13,18334,7.6,19954,8.3,21566,7.7,22945,9.3,22911,8.7,24811,8.1
ualad19:North Lincolnshire,E06000013,22588,11,22397,10,21950,8.6,22011,8,23072,13,23974,7,25253,7.3
ualad19:York,E06000014,22010,8.3,21575,7.3,21435,9,23960,9.4,24500,7.3,24232,5.9,27507,7.1
ualad19:Craven,E07000163,18372,12,17468,11,-,-,18532,13,20604,14,19933,14,22033,15
ualad19:Hambleton,E07000164,21531,11,21881,7.9,22529,10,23790,19,24110,11,22875,9.7,25205,12
ualad19:Harrogate,E07000165,22724,10,23167,7.5,24343,13,27021,7.3,26013,8.8,27458,9.7,27788,17
ualad19:Richmondshire,E07000166,-,-,21034,13,21703,15,23953,17,-,-,20407,12,26126,16
ualad19:Ryedale,E07000167,19560,12,20058,12,20244,12,-,-,23551,11,22548,9.6,23629,9
ualad19:Scarborough,E07000168,18137,9.3,20463,9.8,20861,13,20792,8.2,21515,19,22441,7.4,-,-
ualad19:Selby,E07000169,23952,8.9,24829,9.8,27200,9.5,27050,9.3,27427,12,28812,7.7,27842,9.6
ualad19:Barnsley,E08000016,19886,8.5,20547,7.9,21657,5.1,22087,4.5,22693,7,23018,4.2,24835,4.1
ualad19:Doncaster,E08000017,19749,6.2,19643,8.1,21294,5.9,22631,4.9,24603,6.8,24884,6.3,25356,6.4
ualad19:Rotherham,E08000018,19208,6.5,20049,7.1,20578,6.1,21525,6.1,21619,6.5,21804,4.4,24246,8.3
ualad19:Sheffield,E08000019,21437,4.3,21944,5,22320,4,23296,5,24264,5.4,25001,4.3,25965,5
ualad19:Bradford,E08000032,20320,6,20542,4.9,21084,4.5,21946,5,24016,6.2,23687,4,25299,8.3
ualad19:Calderdale,E08000033,22727,12,21726,7.7,22377,7,23277,6.7,24943,5.5,23567,5.7,26136,6.5
ualad19:Kirklees,E08000034,21110,6.1,21765,5.5,21719,5.9,22804,6.6,24007,5,23038,3.5,26420,4.3
ualad19:Leeds,E08000035,23369,4.1,23644,5.4,23084,4.1,24193,5.2,26199,4.3,26292,4.6,28639,4.6
ualad19:Wakefield,E08000036,20782,5.5,21089,5.3,21027,5.9,22470,5,22182,6.6,23389,3.9,24825,4.3
ualad19:Derby,E06000015,24560,7.8,24533,7,26000,8.4,25774,5.7,26605,5.9,26464,7.8,26759,5.9
ualad19:Leicester,E06000016,18958,7.4,18849,6.7,18940,7.8,20755,4.3,21043,4.7,21200,5.8,23175,6.2
ualad19:Nottingham,E06000018,18985,4.9,18911,4.9,19556,11,20299,7.2,21677,5.2,21406,4.7,22243,5.7
ualad19:Rutland,E06000017,24970,12,25081,15,23010,19,26304,13,29058,14,29511,14,30908,16
ualad19:Amber Valley,E07000032,22780,8.3,23328,9.5,22227,8.4,23000,9,25939,15,24568,8,24512,9.6
ualad19:Bolsover,E07000033,21669,7.7,18874,15,20898,7.6,21035,8.8,21385,18,22683,8.1,-,-
ualad19:Chesterfield,E07000034,20134,17,20481,10,21345,8.4,21920,7.8,22886,9,22875,6.7,25190,9.3
ualad19:Derbyshire Dales,E07000035,24084,15,25175,13,22677,11,25407,14,24736,20,22365,14,24601,18
ualad19:Erewash,E07000036,22676,9.5,22241,8.6,22628,11,22992,15,25382,8.3,26220,11,27509,8.3
ualad19:High Peak,E07000037,22492,7.9,23678,13,22248,9.5,23044,15,23959,10,23623,9.2,26052,8.3
ualad19:North East Derbyshire,E07000038,20629,20,20010,14,23013,9.8,23448,8.9,24908,18,25660,7.5,26320,10
ualad19:South Derbyshire,E07000039,24588,18,24689,8.1,26709,9.4,27450,6.9,29138,8.3,28712,6.9,29320,6.7
ualad19:Blaby,E07000129,23401,9.8,25226,9.5,24399,19,26448,8.3,29875,11,24844,7.1,30007,8.7
ualad19:Charnwood,E07000130,22951,13,23024,6.5,23948,9.4,25495,9.7,25955,7.3,24283,6.6,28227,6.9
ualad19:Harborough,E07000131,27604,9.8,27267,12,26362,11,-,-,29800,15,28776,10,27985,12
ualad19:Hinckley and Bosworth,E07000132,22071,12,22383,6.7,22849,11,23554,-,25888,6.7,26220,8.6,27537,8.2
ualad19:Melton,E07000133,18843,13,22241,13,-,-,21519,14,20552,18,19023,14,22569,-
ualad19:North West Leicestershire,E07000134,21831,9.4,21486,11,22452,14,24159,9.1,24725,9.7,25603,13,28733,11
ualad19:Oadby and Wigston,E07000135,17886,14,20931,-,-,-,23715,12,26533,17,22304,11,25683,13
ualad19:Boston,E07000136,18232,8.5,19037,6.4,19315,6.5,19529,7.5,20221,9.8,22681,6.1,23676,-
ualad19:East Lindsey,E07000137,20654,9.6,21130,8,20989,9.1,21054,11,21134,9.5,20159,9,23900,7.8
ualad19:Lincoln,E07000138,19248,8.8,18585,11,-,-,21206,9,22578,9.6,21513,16,27419,8.9
ualad19:North Kesteven,E07000139,-,-,22916,8.7,-,-,23982,9.5,25981,8.3,27034,8.3,26310,7.1
ualad19:South Holland,E07000140,22195,11,21645,7.7,22446,11,23844,7.7,24858,11,24899,8.3,25986,8.7
ualad19:South Kesteven,E07000141,19599,17,21422,9.3,21032,15,22470,11,22845,6.4,24341,12,25848,9.1
ualad19:West Lindsey,E07000142,20628,11,23453,9,25097,8.3,24455,-,26205,9.2,26954,8.5,28101,12
ualad19:Corby,E07000150,18910,8.9,20484,15,20738,13,22774,10,23979,9.2,-,-,-,-
ualad19:Daventry,E07000151,24430,8.1,25760,9,26070,7,28278,7.8,-,-,-,-,-,-
ualad19:East Northamptonshire,E07000152,26079,8.4,26118,7.2,26719,9.2,26775,13,29209,7.4,-,-,-,-
ualad19:Kettering,E07000153,22568,14,22982,12,23130,8.6,25276,7.7,-,-,-,-,-,-
ualad19:Northampton,E07000154,23090,5.6,21617,5.6,22916,6.1,25226,9,24243,5.7,-,-,-,-
ualad19:South Northamptonshire,E07000155,-,-,28498,12,26078,10,-,-,28595,14,-,-,-,-
ualad19:Wellingborough,E07000156,21170,8.6,20413,7.8,21095,8.8,21722,19,-,-,-,-,-,-
ualad19:Ashfield,E07000170,20221,6.6,21262,6.9,22467,7,22714,7.2,22741,6.8,23466,6.8,25813,19
ualad19:Bassetlaw,E07000171,21540,8.5,22322,11,21537,15,22192,8,22908,7.9,-,-,24515,16
ualad19:Broxtowe,E07000172,25839,8.1,25654,7.2,25865,7.4,25272,8.2,26527,14,26023,9.7,28259,6.3
