Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ladu:North East Lincolnshire,E06000012,19151,13,18334,7.6,19954,8.3,21566,7.7,22945,9.3,22911,8.7,24811,8.1
ladu:North Lincolnshire,E06000013,22588,11,22397,10,21950,8.6,22011,8,23072,13,23974,7,25253,7.3
ladu:York,E06000014,22010,8.3,21575,7.3,21435,9,23960,9.4,24500,7.3,24232,5.9,27507,7.1
ladu:Craven,E07000163,18372,12,17468,11,-,-,18532,13,20604,14,19933,14,22033,15
ladu:Hambleton,E07000164,21531,11,21881,7.9,22529,10,23790,19,24110,11,22875,9.7,25205,12
ladu:Harrogate,E07000165,22724,10,23167,7.5,24343,13,27021,7.3,26013,8.8,27458,9.7,27788,17
ladu:Richmondshire,E07000166,-,-,21034,13,21703,15,23953,17,-,-,20407,12,26126,16
ladu:Ryedale,E07000167,19560,12,20058,12,20244,12,-,-,23551,11,22548,9.6,23629,9
ladu:Scarborough,E07000168,18137,9.3,20463,9.8,20861,13,20792,8.2,21515,19,22441,7.4,-,-
ladu:Selby,E07000169,23952,8.9,24829,9.8,27200,9.5,27050,9.3,27427,12,28812,7.7,27842,9.6
ladu:Barnsley,E08000016,19886,8.5,20547,7.9,21657,5.1,22087,4.5,22693,7,23018,4.2,24835,4.1
ladu:Doncaster,E08000017,19749,6.2,19643,8.1,21294,5.9,22631,4.9,24603,6.8,24884,6.3,25356,6.4
ladu:Rotherham,E08000018,19208,6.5,20049,7.1,20578,6.1,21525,6.1,21619,6.5,21804,4.4,24246,8.3
ladu:Sheffield,E08000019,21437,4.3,21944,5,22320,4,23296,5,24264,5.4,25001,4.3,25965,5
ladu:Bradford,E08000032,20320,6,20542,4.9,21084,4.5,21946,5,24016,6.2,23687,4,25299,8.3
ladu:Calderdale,E08000033,22727,12,21726,7.7,22377,7,23277,6.7,24943,5.5,23567,5.7,26136,6.5
ladu:Kirklees,E08000034,21110,6.1,21765,5.5,21719,5.9,22804,6.6,24007,5,23038,3.5,26420,4.3
ladu:Leeds,E08000035,23369,4.1,23644,5.4,23084,4.1,24193,5.2,26199,4.3,26292,4.6,28639,4.6
ladu:Wakefield,E08000036,20782,5.5,21089,5.3,21027,5.9,22470,5,22182,6.6,23389,3.9,24825,4.3
ladu:Derby,E06000015,24560,7.8,24533,7,26000,8.4,25774,5.7,26605,5.9,26464,7.8,26759,5.9
ladu:Leicester,E06000016,18958,7.4,18849,6.7,18940,7.8,20755,4.3,21043,4.7,21200,5.8,23175,6.2
ladu:Nottingham,E06000018,18985,4.9,18911,4.9,19556,11,20299,7.2,21677,5.2,21406,4.7,22243,5.7
ladu:Rutland,E06000017,24970,12,25081,15,23010,19,26304,13,29058,14,29511,14,30908,16
ladu:Amber Valley,E07000032,22780,8.3,23328,9.5,22227,8.4,23000,9,25939,15,24568,8,24512,9.6
ladu:Bolsover,E07000033,21669,7.7,18874,15,20898,7.6,21035,8.8,21385,18,22683,8.1,-,-
ladu:Chesterfield,E07000034,20134,17,20481,10,21345,8.4,21920,7.8,22886,9,22875,6.7,25190,9.3
ladu:Derbyshire Dales,E07000035,24084,15,25175,13,22677,11,25407,14,24736,20,22365,14,24601,18
ladu:Erewash,E07000036,22676,9.5,22241,8.6,22628,11,22992,15,25382,8.3,26220,11,27509,8.3
ladu:High Peak,E07000037,22492,7.9,23678,13,22248,9.5,23044,15,23959,10,23623,9.2,26052,8.3
ladu:North East Derbyshire,E07000038,20629,20,20010,14,23013,9.8,23448,8.9,24908,18,25660,7.5,26320,10
ladu:South Derbyshire,E07000039,24588,18,24689,8.1,26709,9.4,27450,6.9,29138,8.3,28712,6.9,29320,6.7
ladu:Blaby,E07000129,23401,9.8,25226,9.5,24399,19,26448,8.3,29875,11,24844,7.1,30007,8.7
